nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001864	Noah Wyle	1971	\N	actor,producer,director	tt0108757,tt0246578,tt0455596,tt0412915
nm0001865	Amy Yasbeck	1962	\N	actress	tt0100419,tt0107977,tt0100405,tt0110475
nm0001866	Bolo Yeung	1946	\N	actor,stunts,director	tt0092675,tt0101764,tt0070034,tt0164441
nm0001867	Amy Yip	1965	\N	actress	tt0102562,tt0101490,tt0105845,tt0102737
nm0001868	Michael York	1942	\N	actor,soundtrack,producer	tt0145660,tt0068327,tt0063518,tt0074812
nm0001869	Tina Yothers	1973	\N	actress,soundtrack	tt0089125,tt0195301,tt0083413,tt0084675
nm0001870	Robert Young	1907	1998	actor,soundtrack,producer	tt0063927,tt0046600,tt0033686,tt0039286
nm0001871	Pia Zadora	1954	\N	soundtrack,actress	tt0082122,tt0096402,tt0085863,tt0095270
nm0001872	Steve Zahn	1967	\N	actor,soundtrack,producer	tt0462504,tt0971209,tt3450958,tt0318649
nm0001873	Steven Zaillian	1953	\N	writer,producer,director	tt1568346,tt0108052,tt0108065,tt0120633
nm0001874	Franco Zeffirelli	1923	2019	miscellaneous,production_designer,director	tt0063518,tt0099726,tt0061407,tt0084821
nm0001875	Anthony Zerbe	1936	\N	actor	tt0067525,tt0085407,tt0097742,tt0234215
nm0001876	Catherine Zeta-Jones	1969	\N	actress,soundtrack	tt0299658,tt0120746,tt0181865,tt0137494
nm0001877	Hans Zimmer	1957	\N	music_department,composer,soundtrack	tt1160419,tt1375666,tt0172495,tt5013056
nm0001878	David Zucker	1947	\N	writer,producer,director	tt0362120,tt0102510,tt0080339,tt0088286
nm0001879	Daphne Zuniga	1962	\N	actress,producer,director	tt0368530
nm0001880	Edward Zwick	1952	\N	producer,writer,director	tt0325710,tt0138097,tt0115956,tt0092492
nm0001881	Maryam d'Abo	1960	\N	actress,producer,writer	tt0105395,tt0340477,tt0093428,tt1235124
nm0001882	Olivia d'Abo	1969	\N	actress,soundtrack,music_department	tt0107843,tt2027128,tt0087078,tt2527338
nm0001883	Jenna von Oÿ	1977	\N	actress	tt0200353,tt0096969,tt0101050,tt0113198
nm0001884	Max von Sydow	1929	2020	actor,miscellaneous,soundtrack	tt0080745,tt0477302,tt0050976,tt0181689
nm0001885	Lars von Trier	1956	\N	writer,director,producer	tt1527186,tt0168629,tt4003440,tt0870984
nm0001886	Howard Ross	1941	\N	actor	tt0061218,tt0060590,tt0059672,tt0070023
nm0001887	Paul Brickman	1949	\N	writer,director,producer	tt0139668,tt0086200,tt0076123,tt0250798
nm0001888	Robert Douglas	1909	1999	director,actor,producer	tt0040076,tt0041386,tt0053335,tt0049301
nm0001889	Charles Hawtrey	1914	1988	actor,soundtrack,director	tt0062782,tt0061680,tt0060214,tt0060330
nm0001890	Hugh Herbert	1884	1952	actor,soundtrack,writer	tt0029541,tt0033397,tt0020953,tt0024075
nm0001891	Anthony Higgins	1947	\N	actor,soundtrack	tt0088851,tt0082971,tt0083851,tt0090357
nm0001892	Steve Rice	\N	\N	sound_department,editorial_department,soundtrack	tt0090728,tt0085333,tt0100029,tt0093605
nm0001893	John Archer	1915	1999	actor	tt0054692,tt0033787,tt0042041,tt0042393
nm0001894	Danny Dayton	1923	1999	actor,director,soundtrack	tt0048140,tt0109707,tt0074074,tt0090459
nm0001895	Glenn Miller	1904	1944	soundtrack,actor,music_department	tt0213149,tt5580390,tt0117218,tt0100935
nm0001896	John W. Brown	1882	1949	cinematographer,assistant_director,actor	tt0012709,tt0005939,tt0007068,tt0014260
nm0001897	John M. Davis	\N	\N	music_department,sound_department,composer	tt1210042,tt1374989,tt0118799,tt0395251
nm0001898	Bryan Adams	1959	\N	soundtrack,composer,actor	tt0112883,tt0102798,tt0166813,tt0108333
nm0001899	Remi Adefarasin	1948	\N	cinematographer,camera_department	tt0414055,tt1374989,tt0416320,tt0127536
nm0001900	Danny Aiello III	1957	2010	stunts,assistant_director,actor	tt0822854,tt0087781,tt0338013,tt0368008
nm0001901	Chantal Akerman	1950	2015	director,writer,actress	tt4881016,tt0071690,tt0078152,tt0073198
nm0001902	Edward Albert	1951	2006	actor,soundtrack,miscellaneous	tt0095981,tt0074899,tt0068326,tt0082431
nm0001903	Norma Aleandro	1936	\N	actress,writer	tt0292542,tt0346765,tt0117684,tt0089276
nm0001904	Corey Allen	1934	2010	director,actor,writer	tt0081873,tt0048545,tt0092455,tt0068135
nm0001905	Yves Allégret	1905	1987	director,writer,assistant_director	tt0049491,tt0039344,tt0056569,tt0046149
nm0001906	Kirk Alyn	1910	1999	actor	tt0042873,tt0038456,tt0040852,tt0044427
nm0001907	Eric Ambler	1909	1998	writer,producer,actor	tt0042553,tt0051994,tt0045659,tt0047376
nm0001908	Gilbert M. 'Broncho Billy' Anderson	1880	1971	director,actor,producer	tt0176832,tt0003719,tt0001706,tt0183803
nm0001909	Björn Andrésen	1955	\N	actor	tt0065955,tt8772262,tt4600502,tt0067445
nm0001910	Kenneth Anger	1927	\N	director,writer,editor	tt0039383,tt0489546,tt1568152,tt0489525
nm0001911	Philip Anglim	1952	\N	actor	tt0095280,tt0085101,tt0166593,tt0106145
nm0001912	Paul Anka	1941	\N	soundtrack,actor,composer	tt0093640,tt0427969,tt0073195,tt0056197
nm0001913	Little Oral Annie	1960	\N	actress	tt0124514,tt0086501,tt0196982,tt0167999
nm0001914	Adam Ant	1954	\N	soundtrack,actor,composer	tt0133189,tt0478970,tt0425112,tt0483607
nm0001915	Emile Ardolino	1943	1993	director,producer,miscellaneous	tt0092890,tt0105417,tt0085655,tt0149439
nm0001916	Arletty	1898	1992	actress,soundtrack	tt0030252,tt0198298,tt0037674,tt0056197
nm0001917	Pedro Armendáriz Jr.	1940	2011	actor,producer,soundtrack	tt0120746,tt0285823,tt0236493,tt0097742
nm0001918	Louis Armstrong	1901	1971	soundtrack,actor,music_department	tt0039655,tt0064757,tt0049314,tt0087995
nm0001919	Peggy Ashcroft	1907	1991	actress	tt0067805,tt0080212,tt0026029,tt0087892
nm0001920	Isaac Asimov	1920	1992	writer,miscellaneous,actor	tt0079945,tt0182789,tt0343818,tt0804484
nm0001921	Paul Attanasio	1959	\N	writer,producer,script_department	tt0120184,tt0109635,tt0119008,tt0110932
nm0001922	Jean-Pierre Aumont	1911	2001	actor,writer,soundtrack	tt0064137,tt0070460,tt0044816,tt0046000
nm0001923	Margaret Avery	1944	\N	actress,soundtrack	tt0088939,tt0114397,tt0070355,tt0094770
nm0001924	Hoyt Axton	1938	1999	soundtrack,actor,music_department	tt0087363,tt0085244,tt0109830,tt0064276
nm0001925	Johann Sebastian Bach	1685	1750	soundtrack,music_department,composer	tt1318514,tt0181689,tt0399201,tt0217869
nm0001926	Joan Baez	1941	\N	soundtrack,music_department,actress	tt1127896,tt5027774,tt0067756,tt0362270
nm0001927	Josephine Baker	1906	1975	soundtrack,actress,music_department	tt1532503,tt0026891,tt0026023,tt0135652
nm0001928	Roy Ward Baker	1916	2010	director,assistant_director,miscellaneous	tt0051994,tt0070297,tt0081178,tt0068230
nm0001929	Josiane Balasko	1950	\N	actress,writer,director	tt1091992,tt0816635,tt0113149,tt1442519
nm0001930	Russell Banks	1940	\N	writer,producer,actor	tt0118564,tt0120255,tt2150507,tt3750408
nm0001931	Binnie Barnes	1903	1998	actress,soundtrack,producer	tt0024473,tt0070068,tt0038108,tt0039037
nm0001932	Richard Barthelmess	1895	1963	actor,soundtrack,producer	tt0019217,tt0022054,tt0018253,tt0031762
nm0001933	Geoffrey Bayldon	1924	2017	actor	tt0051994,tt0061452,tt0063881,tt0075066
nm0001934	Kabir Bedi	1946	\N	actor,writer,miscellaneous	tt5832544,tt0074050,tt0086034,tt4535650
nm0001935	Noah Beery	1882	1946	actor,soundtrack	tt0027646,tt0011439,tt0023309,tt0021404
nm0001936	Roxanne Blaze	1974	\N	actress	tt0128759,tt0104579,tt0106366,tt0112466
nm0001937	Marco Beltrami	1966	\N	composer,music_department,soundtrack	tt0167190,tt0448011,tt0343818,tt0816711
nm0001938	Richard Belzer	1944	\N	actor,writer,producer	tt0125664,tt0106028,tt0086250,tt0203259
nm0001939	Maurice Benard	1963	\N	actor,soundtrack	tt0056758,tt0065272,tt2446980,tt0107566
nm0001940	Peter Benchley	1940	2006	writer,producer,actor	tt0077766,tt0093300,tt0073195,tt0085750
nm0001941	Iris Berben	1950	\N	actress,soundtrack	tt1320320,tt0476019,tt0066612,tt0806904
nm0001942	Luca Bercovici	1957	\N	actor,producer,writer	tt1564777,tt0089200,tt0094884,tt3148266
nm0001943	Marisa Berenson	1947	\N	actress,soundtrack	tt0072684,tt0393403,tt0068327,tt1130984
nm0001944	Edgar Bergen	1903	1978	actor,soundtrack,writer	tt0030359,tt0037297,tt0039404,tt0079588
nm0001945	Claude Berri	1934	2009	producer,actor,writer	tt0063771,tt0091288,tt0107002,tt0792965
nm0001946	Chuck Berry	1926	2017	soundtrack,writer,music_department	tt1959563,tt0120812,tt0119654,tt0088763
nm0001947	Turhan Bey	1922	2012	actor,producer	tt0033650,tt0035096,tt0035611,tt0040829
nm0001948	Charles Bickford	1891	1967	actor,soundtrack	tt0047522,tt0036377,tt0039370,tt0040495
nm0001949	Andrew Birkin	1945	\N	writer,miscellaneous,director	tt0106535,tt0094816,tt0091605,tt0396171
nm0001950	Steve Bisley	1951	\N	actor	tt0079501,tt0115417,tt0099138,tt1343092
nm0001951	Björk	1965	\N	soundtrack,composer,actress	tt0138545,tt0168629,tt0110413
nm0001952	Rubén Blades	1948	\N	actor,soundtrack,composer	tt1599348,tt0285823,tt0109456,tt2193215
nm0001953	Moritz Bleibtreu	1971	\N	actor,producer,director	tt0430051,tt0250258,tt0177858,tt0119472
nm0001954	Claire Bloom	1931	\N	actress	tt0082186,tt1504320,tt0044837,tt0057129
nm0001955	Ann Blyth	1928	\N	actress,soundtrack	tt0039224,tt0037913,tt0050494,tt0048260
nm0001956	John Wayne Bobbitt	1967	\N	actor	tt0140058,tt0123610,tt13634472,tt0122561
nm0001957	Lloyd Bochner	1924	2005	actor	tt0081856,tt0085863,tt0102510,tt0062138
nm0001958	Dirk Bogarde	1921	1999	actor,writer	tt0057490,tt0059084,tt0067445,tt0075784
nm0001959	Corinne Bohrer	1958	\N	actress	tt0098798,tt0093756,tt0212815,tt0412253
nm0001960	Romane Bohringer	1973	\N	actress,director,writer	tt0105032,tt0114702,tt0115561,tt8792898
nm0001961	Ray Bolger	1904	1987	actor,soundtrack	tt0054649,tt0044370,tt0032138,tt0045325
nm0001962	Lizzie Borden	1958	\N	director,writer,producer	tt0144642,tt0085267,tt0102340,tt0092238
nm0001963	Jesse Borrego	1962	\N	actor,soundtrack,producer	tt0083412,tt0106469,tt0118880,tt1657507
nm0001964	Rob Bottin	1959	\N	make_up_department,miscellaneous,special_effects	tt0114369,tt0100802,tt0093870,tt0084787
nm0001965	Élodie Bouchez	1973	\N	actress,soundtrack,producer	tt0111019,tt0120449,tt0254199,tt0348876
nm0001966	Clara Bow	1905	1965	actress,soundtrack,music_department	tt0020590,tt0022737,tt0018578,tt0018033
nm0001967	Peter Boyle	1935	2006	actor,soundtrack	tt0285742,tt0072431,tt0115167,tt0095963
nm0001968	Elizabeth Bracco	1957	\N	actress,costume_designer,soundtrack	tt0122933,tt0116313,tt0097940,tt0107594
nm0001969	Ray Bradbury	1920	2012	writer,producer,actor	tt0088591,tt0060390,tt0086336,tt0049513
nm0001970	Klaus Maria Brandauer	1943	\N	actor,director,writer	tt0082736,tt0089755,tt0097417,tt0086006
nm0001971	Ewen Bremner	1972	\N	actor,producer,soundtrack	tt0370263,tt2763304,tt0451279,tt0117951
nm0001972	Richard Briers	1934	2013	actor,soundtrack	tt0078480,tt0316396,tt0107616,tt0075511
nm0001973	Christie Brinkley	1954	\N	actress,soundtrack	tt0120434,tt0810913,tt0805669,tt0085995
nm0001974	Blair Brown	1946	\N	actress,soundtrack,director	tt0186566,tt0138304,tt0092336,tt0080360
nm0001975	Roscoe Lee Browne	1922	2007	actor,soundtrack	tt0133240,tt0095776,tt0068421,tt0074812
nm0001976	Horst Buchholz	1933	2003	actor,miscellaneous	tt0054866,tt0118799,tt0055256,tt0054047
nm0001977	Charles Bukowski	1920	1994	writer,soundtrack,actor	tt16560094,tt0086410,tt0417658,tt0092618
nm0001978	Emma Bunton	1976	\N	soundtrack,actress	tt0120185,tt8106534,tt1489889,tt0981227
nm0001979	Tom Burlinson	1956	\N	actor,music_department,soundtrack	tt0094152,tt0084296,tt0157239,tt0089153
nm0001980	Carter Burwell	1954	\N	music_department,composer,soundtrack	tt1099212,tt5027774,tt2402927,tt0116282
nm0001981	Spring Byington	1886	1971	actress,soundtrack,miscellaneous	tt0038492,tt0030993,tt0042687,tt0035979
nm0001982	Sebastian Cabot	1918	1977	actor,soundtrack	tt0061852,tt0076363,tt0057546,tt0054387
nm0001983	Rory Calhoun	1922	1999	actor,producer,writer	tt0039133,tt0045891,tt0081184,tt0105191
nm0001984	Naomi Campbell	1970	\N	actress,producer,soundtrack	tt0114682,tt0284837,tt1608290,tt6791096
nm0001985	Christy Canyon	1966	\N	actress,miscellaneous	tt0160670,tt0160373,tt0161026,tt0160254
nm0001986	Truman Capote	1924	1984	writer,soundtrack,actor	tt0054698,tt0074937,tt0061809,tt0055018
nm0001987	Tantoo Cardinal	1950	\N	actress,director,producer	tt0110322,tt0099348,tt1646225,tt5362988
nm0001988	Marc Caro	1956	\N	director,writer,actor	tt0118583,tt0487928,tt0101700,tt0112682
nm0001989	Leslie Caron	1931	\N	actress,soundtrack	tt0046000,tt0051658,tt0054866,tt0241303
nm0001990	Elpidia Carrillo	1961	\N	actress,producer,director	tt0091886,tt0420015,tt0100403,tt0093773
nm0001991	Leo G. Carroll	1886	1972	actor	tt0044079,tt0053125,tt0038109,tt0057765
nm0001992	Johnny Carson	1925	2005	actor,soundtrack,writer	tt0059398,tt0055708,tt0116282,tt0260758
nm0001993	Vincent Cassel	1966	\N	actor,producer,soundtrack	tt0113247,tt1259014,tt0947798,tt0411272
nm0001994	Michael Caton-Jones	1957	\N	director,producer,actor	tt0100133,tt0114287,tt0119395,tt0430912
nm0001995	George Chakiris	1934	\N	actor,soundtrack,miscellaneous	tt0049490,tt0062873,tt0055614,tt0064088
nm0001996	Jeff Chandler	1918	1961	actor,soundtrack,producer	tt0045343,tt0048064,tt0042286,tt0050680
nm0001997	Patricia Charbonneau	1959	\N	actress,soundtrack	tt0160862,tt0091474,tt0089015,tt0899128
nm0001998	Cyd Charisse	1922	2008	actress,soundtrack	tt0050972,tt0045537,tt0049490,tt0048216
nm0001999	Maury Chaykin	1949	2010	actor,miscellaneous,assistant_director	tt0119715,tt0086567,tt0104952,tt0099348
nm0002000	Leslie Cheung	1956	2003	actor,music_department,soundtrack	tt0106332,tt0109688,tt0101258,tt0118845
nm0002001	Maurice Chevalier	1888	1972	soundtrack,actor,writer	tt0050658,tt0025493,tt0056095,tt0051658
nm0002002	Shin'ichi Chiba	1939	2021	actor,stunts,miscellaneous	tt0463985,tt0378194,tt0266697,tt0078513
nm0002003	David Chokachi	1968	\N	actor,producer	tt5935694,tt1596346,tt0096542,tt0448950
nm0002004	Sarita Choudhury	1966	\N	actress	tt0120787,tt2980210,tt1951266,tt0452637
nm0002005	Agatha Christie	1890	1976	writer,camera_department	tt0029171,tt3402236,tt1349600,tt0051201
nm0002006	Thomas Haden Church	1960	\N	actor,miscellaneous,producer	tt0413300,tt0108358,tt0375063,tt1282140
nm0002007	Tom Clancy	1947	2013	writer,producer,miscellaneous	tt0105112,tt0164184,tt0099810,tt0109444
nm0002008	Eric Clapton	1945	\N	soundtrack,composer,music_department	tt0104714,tt0097733,tt0088763,tt0093409
nm0002009	Arthur C. Clarke	1917	2008	writer,actor,art_department	tt0086837,tt0134933,tt0043238,tt0062622
nm0002010	Christian Clavier	1952	\N	actor,writer,producer	tt0250223,tt0133385,tt0189192,tt0108500
nm0002011	Lee J. Cobb	1911	1976	actor,director,soundtrack	tt0050083,tt0053804,tt0070047,tt0047296
nm0002012	Randall 'Tex' Cobb	1950	\N	actor	tt0109040,tt0093822,tt0110622,tt0086508
nm0002013	Charles Coburn	1877	1961	actor,soundtrack	tt0035979,tt0045810,tt0036172,tt0044916
nm0002014	Iron Eyes Cody	1907	1999	actor,stunts,miscellaneous	tt0065570,tt0047501,tt0092974,tt0077630
nm0002015	Phil Collins	1951	\N	soundtrack,composer,actor	tt0203009,tt0094819,tt0120855,tt0328880
nm0002016	William Conrad	1920	1994	actor,director,producer	tt0047264,tt0066636,tt0102070,tt0038669
nm0002017	Richard Conte	1910	1975	actor,soundtrack,director	tt0041958,tt0068646,tt0047878,tt0054135
nm0002018	Tom Conti	1941	\N	actor,soundtrack,miscellaneous	tt0084591,tt0398017,tt0085933,tt0073999
nm0002019	Kevin Corcoran	1949	2015	assistant_director,actor,producer	tt0054390,tt0054195,tt0054357,tt0050798
nm0002020	Costa-Gavras	1933	\N	director,writer,producer	tt0422015,tt0084335,tt0065234,tt0280653
nm0002021	Noël Coward	1899	1973	writer,soundtrack,actor	tt0037558,tt0038363,tt0064505,tt0034891
nm0002022	Jeanne Crain	1925	2003	actress,soundtrack	tt0040104,tt0041587,tt0041746,tt0038116
nm0002023	Matt Craven	1956	\N	actor	tt0099871,tt0104257,tt0112740,tt1270798
nm0002024	Broderick Crawford	1911	1986	actor,producer,soundtrack	tt0041113,tt0042276,tt0034965,tt0047879
nm0002025	Hume Cronyn	1911	2003	actor,producer,writer	tt0088850,tt0092494,tt0036342,tt0088933
nm0002026	Mary Crosby	1959	\N	actress	tt0077000,tt0386140,tt0087451,tt0086690
nm0002027	Ben Cross	1947	2020	actor,producer	tt0760188,tt0082158,tt0796366,tt0113071
nm0002028	Sheryl Crow	1962	\N	soundtrack,actress,composer	tt0117333,tt0272152,tt2719848,tt0120347
nm0002029	Maria Grazia Cucinotta	1968	\N	actress,producer,director	tt0143145,tt0110877,tt0118782,tt1161864
nm0002030	George Cukor	1899	1983	director,miscellaneous,assistant_director	tt0042276,tt0058385,tt0036855,tt0032904
nm0002031	Michael Curtiz	1886	1962	director,actor,writer	tt0026174,tt0034583,tt0029843,tt0047673
nm0002032	Roger Daltrey	1944	\N	actor,soundtrack,producer	tt0093437,tt0093936,tt0073812,tt0073298
nm0002033	Tyne Daly	1946	\N	actress,soundtrack,writer	tt0209069,tt2250912,tt0083395,tt0074483
nm0002034	Jane Darwell	1879	1967	actress	tt0058331,tt0032551,tt0031381,tt0036244
nm0002035	Sammy Davis Jr.	1925	1990	soundtrack,actor,producer	tt0063534,tt0053182,tt0082136,tt0087032
nm0002036	Ann B. Davis	1926	2014	actress,soundtrack	tt0063878,tt0055100,tt0075485,tt0047752
nm0002037	Cliff De Young	1945	\N	actor,soundtrack	tt0115963,tt0120241,tt0097441,tt0083067
nm0002038	Gloria DeHaven	1925	2016	actress,soundtrack	tt0037365,tt0042589,tt0037408,tt0045702
nm0002039	Ruby Dee	1922	2014	actress,soundtrack,writer	tt0055353,tt0765429,tt0113501,tt0097216
nm0002040	Vanessa del Rio	1952	\N	actress,miscellaneous	tt0179505,tt0090939,tt0082287,tt1111948
nm0002041	Dean Devlin	1962	\N	producer,actor,director	tt0116629,tt0120685,tt1628841,tt0111282
nm0002042	Charles Dickens	1812	1870	writer,soundtrack,miscellaneous	tt0096061,tt1067106,tt0119223,tt0063385
nm0002043	Madhuri Dixit	1967	\N	actress,music_department,soundtrack	tt0118983,tt2178470,tt2675978,tt0238936
nm0002044	Roger Donaldson	1945	\N	director,producer,writer	tt0412080,tt0114508,tt0094889,tt0086993
nm0002045	Stanley Donen	1924	2019	director,miscellaneous,producer	tt0062407,tt0050419,tt0045152,tt0056923
nm0002046	Brian Donlevy	1901	1972	actor,producer,soundtrack	tt0037077,tt0034798,tt0031088,tt0041503
nm0002047	Diana Dors	1931	1984	actress,soundtrack,writer	tt0061398,tt0068200,tt0047841,tt0050653
nm0002048	Melvyn Douglas	1901	1981	actor,soundtrack	tt0057163,tt0078841,tt0040613,tt0080516
nm0002049	Robert Downey Sr.	1936	2021	actor,director,writer	tt0218967,tt0064855,tt0118749,tt0090180
nm0002050	Irene Dunne	1898	1990	actress,soundtrack	tt0026942,tt0029284,tt0031593,tt0028597
nm0002051	Jimmy Durante	1893	1980	soundtrack,actor,music_department	tt0033874,tt0025263,tt0057193,tt0021772
nm0002052	Deanna Durbin	1921	2013	soundtrack,actress	tt0030395,tt0033766,tt0032644,tt0028373
nm0002053	Dan Duryea	1907	1968	actor,soundtrack	tt0037749,tt0036323,tt0041968,tt0038057
nm0002054	Sheena Easton	1959	\N	actress,soundtrack,composer	tt0115509,tt0356150,tt0439410,tt0082398
nm0002055	Alison Eastwood	1972	\N	actress,producer,director	tt0118548,tt0119668,tt1880415,tt7959026
nm0002056	Christine Ebersole	1953	\N	actress,soundtrack	tt0993846,tt0115697,tt0110989,tt0086879
nm0002057	Richard Edson	1954	\N	actor,writer,camera_department	tt0091042,tt0108255,tt0114558,tt0097216
nm0002058	Samantha Eggar	1939	\N	actress,soundtrack	tt0119282,tt0078908,tt0059043,tt0061584
nm0002059	Lisa Eichhorn	1952	\N	actress,writer,producer	tt0108473,tt0082220,tt0079123,tt2194499
nm0002060	Lisa Eilbacher	1956	\N	actress	tt0097737,tt0086960,tt0084434,tt0085121
nm0002061	Maurice Elvey	1887	1967	director,producer,writer	tt0017998,tt0325470,tt0325379,tt0049795
nm0002062	Kathryn Erbe	1965	\N	actress,miscellaneous	tt0275140,tt0164181,tt0109520,tt0103241
nm0002063	Leif Erickson	1911	1986	actor,soundtrack	tt0029742,tt0047296,tt0057917,tt0061263
nm0002064	Giancarlo Esposito	1958	\N	music_department,actor,producer	tt0114814,tt3040964,tt0903747,tt0097216
nm0002065	Gloria Estefan	1957	\N	soundtrack,music_department,actress	tt0218922,tt0166943,tt0111255,tt0409182
nm0002066	Ramon Estevez	1963	\N	producer,actor,executive	tt6360810,tt4820224,tt1986770,tt0101531
nm0002067	Linda Evans	1942	\N	actress,soundtrack	tt0081856,tt0420277,tt0412137,tt0058791
nm0002068	Frances Farmer	1913	1970	actress,soundtrack,writer	tt0032481,tt0028395,tt0028817,tt0029675
nm0002069	Mimsy Farmer	1945	\N	actress,art_department,writer	tt0067681,tt0064694,tt2015381,tt1298650
nm0002070	Richard Farnsworth	1920	2000	actor,stunts,soundtrack	tt0166896,tt0100157,tt0088727,tt0087781
nm0002071	Will Ferrell	1967	\N	producer,actor,soundtrack	tt0357413,tt0445934,tt1229340,tt0415306
nm0002072	Mel Ferrer	1917	2008	actor,director,miscellaneous	tt0045966,tt0062467,tt0053454,tt0046000
nm0002073	Lou Ferrigno	1951	\N	actor,miscellaneous	tt0085672,tt0800080,tt0077031,tt0286716
nm0002074	Sally Fields	\N	\N	soundtrack	tt0142377,tt2844946
nm0002075	Peter Finch	1916	1977	actor,soundtrack	tt0074958,tt0067805,tt0054403,tt0061648
nm0002076	Jason Flemyng	1966	\N	actor,producer,soundtrack	tt0118956,tt0421715,tt0120681,tt0120735
nm0002077	Dexter Fletcher	1966	\N	actor,director,producer	tt1727824,tt2481198,tt2066051,tt1083452
nm0002078	Frederic Forrest	1936	\N	actor	tt0071360,tt0096639,tt0078788,tt0106856
nm0002079	Steve Forrest	1925	2013	actor	tt0056197,tt0082766,tt0090056,tt0046333
nm0002080	Bob Fosse	1927	1987	miscellaneous,soundtrack,actor	tt0068327,tt0078754,tt0071746,tt0256153
nm0002081	Edward Fox	1937	\N	actor,producer,miscellaneous	tt0083987,tt0069947,tt0075784,tt0086006
nm0002082	James Franciscus	1934	1991	actor,producer,writer	tt0065462,tt0079227,tt0065761,tt0065163
nm0002083	Carl Franklin	1949	\N	actor,director,writer	tt0102592,tt0112857,tt0313443,tt1856010
nm0002084	Brenda Fricker	1945	\N	actress	tt0108174,tt0097937,tt0117913,tt0104431
nm0002085	Gert Fröbe	1913	1988	actor,soundtrack,writer	tt0060814,tt0058150,tt0051588,tt0062803
nm0002086	Lucio Fulci	1927	1996	writer,director,actor	tt0080057,tt0087759,tt0081318,tt0082966
nm0002087	Samuel Fuller	1912	1997	writer,director,actor	tt0046187,tt0050407,tt0057495,tt0044072
nm0002088	Annette Funicello	1942	2013	actress,soundtrack,writer	tt0058953,tt0058384,tt0058440,tt0059287
nm0002089	Sidney J. Furie	1933	\N	director,writer,producer	tt0094074,tt0059319,tt0060120,tt0091278
nm0002090	Zach Galligan	1964	\N	actor,director,producer	tt0087363,tt0090106,tt0096426,tt6038042
nm0002091	Michael Gambon	1940	\N	actor,soundtrack,music_department	tt0280707,tt0417741,tt0097108,tt1201607
nm0002092	John Garfield	1913	1952	actor,soundtrack,producer	tt0039204,tt0038622,tt0030149,tt0038000
nm0002093	Greer Garson	1904	1996	actress,soundtrack,miscellaneous	tt0031385,tt0032943,tt0035093,tt0040498
nm0002094	Vittorio Gassman	1922	2000	actor,writer,director	tt0117665,tt0056512,tt0049399,tt0072037
nm0002095	Will Geer	1902	1978	actor,soundtrack	tt0068149,tt0061809,tt0068762,tt0043137
nm0002096	Judy Geeson	1948	\N	actress,soundtrack	tt1731697,tt3835080,tt0066730,tt0062376
nm0002097	Bob Geldof	1951	\N	soundtrack,actor,composer	tt0120783,tt0437863,tt0084503,tt0120185
nm0002098	Laura Gemser	1950	\N	actress,costume_designer,costume_department	tt0089091,tt0075987,tt0084869,tt0072930
nm0002099	Henry Gibson	1935	2009	actor,soundtrack	tt0080455,tt0175880,tt0073440,tt0093260
nm0002100	Marie Gillain	1975	\N	actress,soundtrack,director	tt1035736,tt0112387,tt0102465,tt0115478
nm0002101	Robin Givens	1964	\N	actress,producer,director	tt0103859,tt0109288,tt0325537,tt5478918
nm0002102	Sharon Gless	1943	\N	actress,producer	tt1315214,tt0262985,tt0810788,tt0083395
nm0002103	Julian Glover	1935	\N	actor,soundtrack	tt0082398,tt0295297,tt0080684,tt0097576
nm0002104	Paulette Goddard	1910	1990	actress,soundtrack,producer	tt0033722,tt0032520,tt0027977,tt0037849
nm0002105	Judith Godrèche	1972	\N	actress,writer,director	tt3844362,tt0283900,tt0117477,tt0120744
nm0002106	Ruth Gordon	1896	1985	actress,writer,soundtrack	tt0063522,tt0059314,tt0067185,tt0077523
nm0002107	Betty Grable	1916	1973	actress,soundtrack	tt0045891,tt0033740,tt0043370,tt0034405
nm0002108	Gloria Grahame	1923	1981	actress,soundtrack	tt0038650,tt0042593,tt0044391,tt0045555
nm0002109	Faye Grant	1957	\N	actress,soundtrack	tt0086823,tt0085106,tt0086822,tt1046163
nm0002110	Rodney A. Grant	1959	\N	actor	tt0120891,tt0099348,tt0118480,tt0228333
nm0002111	Karen Grassle	1942	\N	actress,writer	tt0111756,tt0086765,tt0071007,tt0087631
nm0002112	Jennifer Gray	1916	1962	actress	tt4368128,tt0039985,tt1663176,tt1699666
nm0002113	Sydney Greenstreet	1879	1954	actor,soundtrack	tt0034428,tt0033870,tt0034583,tt0037055
nm0002114	Kim Greist	1958	\N	actress,art_department	tt0094142,tt0091474,tt0107131,tt0088846
nm0002115	Wayne Gretzky	1961	\N	actor,producer,soundtrack	tt0109520,tt8488644,tt4875384,tt1754438
nm0002116	Paul Guilfoyle	1902	1961	actor,director,miscellaneous	tt0032551,tt0033013,tt0037263,tt0034145
nm0002117	Paul Guilfoyle	1949	\N	actor	tt0119942,tt0118571,tt5853176,tt0119488
nm0002118	Alan Hale	1892	1950	actor,soundtrack,director	tt0040076,tt0033028,tt0029843,tt0025316
nm0002119	Arsenio Hall	1956	\N	producer,actor,writer	tt0094898,tt1190536,tt0097481,tt6802400
nm0002120	Lasse Hallström	1946	\N	director,writer,cinematographer	tt0989757,tt0089606,tt0108550,tt0241303
